Maze Type, Resolution, Solving Time, Short Corridors, Medium Corridors, Long Corridors, Seed
RecursiveDivision,16x16,2,02179,0,110,30,221413405
RecursiveDivision,16x16,0,2212524,0,118,27,470604606
RecursiveDivision,16x16,0,3070831,0,105,30,327060482
RecursiveDivision,16x16,0,09441376,0,115,25,373299073
RecursiveDivision,16x16,0,2155304,0,119,26,306941526
RecursiveDivision,16x16,0,4577637,0,118,26,261117887
RecursiveDivision,16x16,0,1020432,0,126,24,175609593
RecursiveDivision,16x16,0,2574921,0,116,27,523561914
RecursiveDivision,16x16,0,1001358,0,124,23,656569768
RecursiveDivision,16x16,0,2651215,0,111,33,872357494
RecursiveDivision,16x16,0,09346008,0,127,26,64148282
RecursiveDivision,16x16,0,2126694,0,126,20,603976969
RecursiveDivision,16x16,0,2336502,0,102,34,98983976
RecursiveDivision,16x16,0,3328323,0,129,23,60353846
RecursiveDivision,16x16,0,5397797,0,122,29,844518601
RecursiveDivision,16x16,0,1010895,0,107,32,181959918
RecursiveDivision,16x16,0,1401901,0,121,23,44264915
RecursiveDivision,16x16,0,202179,0,116,27,633984833
RecursiveDivision,16x16,0,1211166,0,109,33,568346508
RecursiveDivision,16x16,0,1049042,0,135,24,819202343
RecursiveDivision,16x16,0,1564026,0,120,25,607624009
RecursiveDivision,16x16,0,2403259,0,120,26,462823906
RecursiveDivision,16x16,0,2040863,0,133,20,833293852
RecursiveDivision,16x16,0,07152557,0,107,31,128434500
RecursiveDivision,16x16,0,2317429,0,121,25,487992889
RecursiveDivision,16x16,0,1087189,0,124,22,327457924
RecursiveDivision,16x16,0,2727509,0,102,31,333948040
RecursiveDivision,16x16,0,1964569,0,118,29,785911671
RecursiveDivision,16x16,0,07724762,0,138,14,663958936
RecursiveDivision,16x16,0,1144409,0,113,28,718211169
RecursiveDivision,16x16,0,07820129,0,123,22,751261236
RecursiveDivision,16x16,0,1859665,0,123,29,57631739
RecursiveDivision,16x16,0,2202988,0,98,29,836333726
RecursiveDivision,16x16,0,2574921,0,113,31,178811817
RecursiveDivision,16x16,0,1049042,0,112,29,527658633
RecursiveDivision,16x16,0,2193451,0,106,31,873775746
RecursiveDivision,16x16,0,1535416,0,122,27,626385069
RecursiveDivision,16x16,0,2689362,0,124,25,748866954
RecursiveDivision,16x16,0,08487701,0,110,27,420761403
RecursiveDivision,16x16,0,08964539,0,113,29,935963596
RecursiveDivision,16x16,0,1583099,0,116,28,919878414
RecursiveDivision,16x16,0,202179,0,114,28,854663061
RecursiveDivision,16x16,0,2660751,0,145,16,777404285
RecursiveDivision,16x16,0,2164841,0,108,27,18256319
RecursiveDivision,16x16,1,426697,0,123,26,81200673
RecursiveDivision,16x16,0,1325607,0,118,24,372067006
RecursiveDivision,16x16,0,1382828,0,128,25,191906903
RecursiveDivision,16x16,0,2155304,0,114,23,197745345
RecursiveDivision,16x16,0,1811981,0,124,21,632889583
RecursiveDivision,16x16,0,08201599,0,115,26,704200994
RecursiveDivision,16x16,0,1916885,0,125,24,323662875
RecursiveDivision,16x16,0,1478195,0,123,24,650568171
RecursiveDivision,16x16,0,2155304,0,107,27,261551909
RecursiveDivision,16x16,0,123024,0,122,26,241395980
RecursiveDivision,16x16,0,06771088,0,116,25,170160211
RecursiveDivision,16x16,0,08201599,0,101,32,900809354
RecursiveDivision,16x16,0,164032,0,118,25,334980445
RecursiveDivision,16x16,0,1125336,0,127,23,482182721
RecursiveDivision,16x16,0,1192093,0,120,25,350858417
RecursiveDivision,16x16,0,09727478,0,120,27,224166716
RecursiveDivision,16x16,1,544952,0,130,21,88691600
RecursiveDivision,16x16,0,2889633,0,120,28,378227330
RecursiveDivision,16x16,0,05817413,0,123,25,87773589
RecursiveDivision,16x16,0,1468658,0,127,29,502429590
RecursiveDivision,16x16,0,1602173,0,122,26,785513200
RecursiveDivision,16x16,0,08773804,0,116,27,111282388
RecursiveDivision,16x16,0,254631,0,121,22,975752395
RecursiveDivision,16x16,0,09059906,0,110,25,836305084
RecursiveDivision,16x16,0,2660751,0,122,26,235532139
RecursiveDivision,16x16,0,09059906,0,120,27,736206173
RecursiveDivision,16x16,0,1325607,0,130,25,712521260
RecursiveDivision,16x16,0,1802444,0,125,25,477533709
RecursiveDivision,16x16,0,1516342,0,118,28,884905619
RecursiveDivision,16x16,0,1659393,0,103,31,658844197
RecursiveDivision,16x16,0,2031326,0,117,26,345524443
RecursiveDivision,16x16,0,2775192,0,118,19,778917141
RecursiveDivision,16x16,0,125885,0,114,30,37453002
RecursiveDivision,16x16,0,2155304,0,128,23,804594833
RecursiveDivision,16x16,0,2403259,0,112,27,706552826
RecursiveDivision,16x16,0,08296967,0,117,32,999394156
RecursiveDivision,16x16,0,1440048,0,120,26,744756202
RecursiveDivision,16x16,0,1325607,0,106,29,915358730
RecursiveDivision,16x16,0,1544952,0,119,24,147571415
RecursiveDivision,16x16,0,05722046,0,105,28,135653163
RecursiveDivision,16x16,0,2727509,0,111,28,101613318
RecursiveDivision,16x16,0,1106262,0,134,22,543471453
RecursiveDivision,16x16,1,533508,0,128,25,403726042
RecursiveDivision,16x16,0,2822876,0,120,23,32135688
RecursiveDivision,16x16,0,1554489,0,120,23,116922518
RecursiveDivision,16x16,0,243187,0,121,27,259611461
RecursiveDivision,16x16,0,2603531,0,124,24,919964777
RecursiveDivision,16x16,0,2298355,0,107,32,102514845
RecursiveDivision,16x16,0,161171,0,127,23,891551676
RecursiveDivision,16x16,0,1077652,0,112,31,249635247
RecursiveDivision,16x16,0,2384186,0,105,32,118633067
RecursiveDivision,16x16,0,2222061,0,120,28,485419153
RecursiveDivision,16x16,0,1325607,0,114,30,460493990
RecursiveDivision,16x16,0,1411438,0,128,25,947321049
RecursiveDivision,16x16,0,1249313,0,133,23,873986347
RecursiveDivision,16x16,0,2651215,0,131,18,207784493
RecursiveDivision,32x32,4,501343,321,252,5,674447781
RecursiveDivision,32x32,2,439499,353,238,3,704120004
RecursiveDivision,32x32,0,6160736,359,243,2,158858782
RecursiveDivision,32x32,3,546715,350,239,1,199179353
RecursiveDivision,32x32,0,1869202,342,246,3,624133018
RecursiveDivision,32x32,2,258301,340,232,4,236428418
RecursiveDivision,32x32,0,5378723,349,232,4,694200095
RecursiveDivision,32x32,3,545761,339,258,0,308795258
RecursiveDivision,32x32,0,7867813,359,239,4,742714464
RecursiveDivision,32x32,2,094269,328,243,5,69972469
RecursiveDivision,32x32,0,5893707,346,231,2,41640285
RecursiveDivision,32x32,2,185822,335,246,3,714187597
RecursiveDivision,32x32,1,984596,370,241,2,54545341
RecursiveDivision,32x32,1,041412,310,276,0,143812965
RecursiveDivision,32x32,0,3213882,323,255,1,483264881
RecursiveDivision,32x32,0,2613068,353,248,2,457456325
RecursiveDivision,32x32,0,6122589,321,248,2,111012188
RecursiveDivision,32x32,2,715111,304,260,3,723381642
RecursiveDivision,32x32,2,687454,377,225,2,152331475
